序號,題目ID,題目,類別,難度,預期答案,實際答案,正確性,使用適配器,執行時間(秒),錯誤信息
1,gaia_level1_001,What is the capital of France?,geography,easy,Paris,Paris,✅,claude,1.941,
2,gaia_level1_002,Which continent is Egypt located in?,geography,easy,Africa,Africa,✅,claude,1.095,
3,gaia_level1_003,What is the longest river in the world?,geography,medium,Nile River,Nile River,✅,claude,1.082,
4,gaia_level1_004,Which ocean is the largest?,geography,easy,Pacific Ocean,Pacific Ocean,✅,claude,1.344,
5,gaia_level1_005,What is the capital of Japan?,geography,easy,Tokyo,Tokyo,✅,claude,1.032,
6,gaia_level1_006,Which mountain range contains Mount Everest?,geography,medium,Himalayas,Himalayas,✅,claude,1.016,
7,gaia_level1_007,What is the smallest country in the world?,geography,medium,Vatican City,Vatican City,✅,claude,1.084,
8,gaia_level1_008,Which desert is the largest in the world?,geography,medium,Sahara Desert,Sahara Desert,✅,claude,0.634,
9,gaia_level1_009,What is the capital of Australia?,geography,medium,Canberra,Canberra,✅,claude,0.908,
10,gaia_level1_010,Which country has the most time zones?,geography,hard,France,France (12 time zones),✅,claude,0.746,
11,gaia_level1_011,What is 15 + 27?,math,easy,42,42,✅,gemini,0.496,
12,gaia_level1_012,What is the square root of 144?,math,easy,12,12,✅,gemini,0.432,
13,gaia_level1_013,What is 8 × 7?,math,easy,56,56,✅,gemini,0.301,
14,gaia_level1_014,What is 100 ÷ 4?,math,easy,25,25,✅,gemini,0.314,
15,gaia_level1_015,What is 2^5?,math,medium,32,32,✅,gemini,0.294,
16,gaia_level1_016,What is the value of π (pi) to 2 decimal places?,math,medium,3.14,3.14,✅,gemini,0.311,
17,gaia_level1_017,What is 15% of 200?,math,medium,30,30,✅,gemini,0.347,
18,gaia_level1_018,What is the sum of angles in a triangle?,math,medium,180 degrees,180,✅,gemini,0.383,
19,gaia_level1_019,What is the derivative of x^2?,math,hard,2x,2x,✅,gemini,0.274,
20,gaia_level1_020,What is the integral of 2x?,math,hard,x^2 + C,x^2 + C,✅,gemini,0.294,
21,gaia_level1_021,What is the chemical symbol for gold?,science,easy,Au,Au,✅,claude,1.025,
22,gaia_level1_022,What is the largest planet in our solar system?,science,easy,Jupiter,Jupiter,✅,claude,1.455,
23,gaia_level1_023,What is the atomic number of carbon?,science,medium,6,6,✅,claude,1.225,
24,gaia_level1_024,What gas do plants absorb from the atmosphere duri...,science,medium,Carbon dioxide,二氧化碳,❌,claude,1.019,
25,gaia_level1_025,What is the smallest unit of matter?,science,medium,Atom,夸克,❌,claude,0.971,
26,gaia_level1_026,What is the speed of light in vacuum?,science,hard,"299,792,458 meters per second",299792458,✅,claude,0.822,
27,gaia_level1_027,What is the chemical formula for water?,science,easy,H2O,H2O,✅,claude,0.850,
28,gaia_level1_028,How many bones are in the adult human body?,science,medium,206,206,✅,claude,1.006,
29,gaia_level1_029,What is the hardest natural substance on Earth?,science,medium,Diamond,鑽石,❌,claude,1.161,
30,gaia_level1_030,What is the pH of pure water?,science,medium,7,7,✅,claude,0.907,
31,gaia_level1_031,In which year did World War II end?,history,easy,1945,1945,✅,claude,0.780,
32,gaia_level1_032,Who was the first President of the United States?,history,easy,George Washington,George Washington,✅,claude,1.650,
33,gaia_level1_033,In which year did the Berlin Wall fall?,history,medium,1989,1989,✅,claude,4.613,
34,gaia_level1_034,Which ancient wonder of the world was located in A...,history,medium,Lighthouse of Alexandria,The Lighthouse of Alexandria,✅,claude,2.645,
35,gaia_level1_035,Who was the first person to walk on the moon?,history,easy,Neil Armstrong,Neil Armstrong,✅,claude,2.040,
36,gaia_level1_036,In which year did the Titanic sink?,history,medium,1912,1912,✅,claude,2.096,
37,gaia_level1_037,Which empire was ruled by Julius Caesar?,history,medium,Roman Empire,Roman Empire,✅,claude,2.828,
38,gaia_level1_038,In which year did World War I begin?,history,medium,1914,1914,✅,claude,3.670,
39,gaia_level1_039,Who wrote the Declaration of Independence?,history,medium,Thomas Jefferson,Thomas Jefferson,✅,claude,2.108,
40,gaia_level1_040,Which war was fought between the North and South i...,history,easy,Civil War,Civil War,✅,claude,1.707,
41,gaia_level1_041,Who wrote the novel '1984'?,literature,easy,George Orwell,George Orwell,✅,claude,3.320,
42,gaia_level1_042,Who painted the Mona Lisa?,art,easy,Leonardo da Vinci,Leonardo da Vinci,✅,claude,1.211,
43,gaia_level1_043,Who wrote 'Romeo and Juliet'?,literature,easy,William Shakespeare,William Shakespeare,✅,claude,1.259,
44,gaia_level1_044,Who composed 'The Four Seasons'?,music,medium,Antonio Vivaldi,Vivaldi,✅,claude,1.063,
45,gaia_level1_045,Who wrote 'Pride and Prejudice'?,literature,medium,Jane Austen,Jane Austen,✅,claude,1.343,
46,gaia_level1_046,Who painted 'The Starry Night'?,art,medium,Vincent van Gogh,Vincent van Gogh,✅,claude,1.378,
47,gaia_level1_047,Who wrote 'To Kill a Mockingbird'?,literature,medium,Harper Lee,Harper Lee,✅,claude,1.002,
48,gaia_level1_048,Who composed 'Symphony No. 9'?,music,medium,Ludwig van Beethoven,Ludwig van Beethoven,✅,claude,0.781,
